date,retail_price,inflation_ncip_food,inflation_ncip_non_food,inflation_ncip_all_items,national_production
2018-07-01,271.09,18426.09925,22397.99502,40746.87963,2749.3
2018-08-01,168.12,17891.74237,22554.78098,40380.15771,2749.3
2018-09-01,142.18,17444.44881,22690.10967,40057.11645,2749.3
2018-10-01,186.83,17427.00436,22848.94044,40217.34492,5185.8
2018-11-01,320.24,18315.78159,22871.78938,41102.1265,5185.8
2018-12-01,287.58,18242.51846,22757.43043,40896.61587,5185.8
2019-01-01,216.29,17877.66809,23189.82161,40978.4091,5185.8
2019-02-01,170.96,17466.48172,23398.53,40773.51706,5185.8
2019-03-01,156.18,17256.88394,23515.52265,40691.97002,5185.8
2019-04-01,169.30,17412.1959,23656.61579,40976.81381,2661
2019-05-01,214.58,17777.85201,23727.58563,41427.55877,2661
2019-06-01,224.64,17920.07483,23751.31322,41593.269,2661
2019-07-01,207.67,17973.83505,23775.06453,41676.45554,2661
2019-08-01,208.66,18009.78272,23822.61466,41759.80845,2661
2019-09-01,208.66,18297.93925,23846.43728,42052.12711,2661
2019-10-01,249.63,18718.79185,23822.59084,42472.64838,4167.3
2019-11-01,265.10,19055.7301,23822.59084,42812.42957,4167.3
2019-12-01,272.59,19817.95931,23703.47789,43497.42844,4167.3
2020-01-01,291.94,20313.40829,23869.40223,44149.88987,4167.3
2020-02-01,242.18,20293.09488,23893.27163,44149.88987,4167.3
2020-03-01,200.03,19664.00894,23941.05818,43575.9413,4167.3
2020-04-01,162.34,19526.36088,23941.05818,43445.21347,3492.5
2020-05-01,161.48,19741.15085,23941.05818,43618.99433,3492.5
2020-06-01,211.99,20333.38537,23941.05818,44229.66025,3492.5
2020-07-01,193.52,20272.38522,24012.88135,44229.66025,3492.5
2020-08-01,191.54,20373.74714,24084.92,44406.57889,3492.5
2020-09-01,219.16,20597.85836,24181.25968,44761.83152,3492.5
2020-10-01,249.28,20659.65194,24205.44094,44806.59335,4446.2
2020-11-01,242.10,20824.92915,24253.85182,45030.62632,4446.2
2020-12-01,282.63,21283.07759,24253.85182,45480.93258,4446.2
2021-01-01,297.71,21495.90837,24326.61337,45753.81818,4446.2
2021-02-01,284.66,21689.37155,24350.93999,45982.58727,4446.2
2021-03-01,237.57,21385.72034,24423.99281,45752.67433,4446.2
2021-04-01,221.60,21407.10606,24448.4168,45798.42701,3732.8
2021-05-01,216.08,21771.02687,24521.76205,46256.41128,3732.8
2021-06-01,271.95,22337.07357,24619.8491,46950.25745,3732.8
2021-07-01,262.39,22515.77015,24742.94834,47231.95899,3732.8
2021-08-01,238.76,22650.86478,24767.69129,47373.65487,3732.8
2021-09-01,232.95,22673.51564,24866.76206,47515.77583,3732.8
2021-10-01,264.95,23104.31244,25463.56435,48513.60712,4192.8
2021-11-01,343.87,24375.04962,25718.19999,50017.52895,4192.8
2021-12-01,436.37,25886.3027,26052.53659,51868.17752,4192.8
2022-01-01,390.64,30158.37924,36663.06469,66809.5662,4192.8
2022-02-01,381.59,30459.96303,36956.36921,67410.8523,4192.8
