date,retail_price,inflation_ncip_food,inflation_ncip_non_food,inflation_ncip_all_items,national_production
2023-01-01,342.91,46391.44524,56011.13878,102306.038,2945.2
2023-02-01,291.41,45463.61634,58083.55091,103431.4044,2945.2
2023-03-01,281.81,44508.88039,59419.47258,103741.6986,2945.2
2023-04-01,259.27,44642.40703,58231.08313,102704.2816,2065.3
2023-05-01,312.13,45088.8311,57998.1588,102909.6902,2065.3
2023-06-01,378.09,45539.71942,57650.16985,103012.5999,2065.3
2023-07-01,339.62,45357.56054,57073.66815,102291.5117,2065.3
2023-08-01,283.42,44767.91225,57701.4785,102291.5117,2065.3
2023-09-01,268.74,45170.82346,58047.68737,103109.8438,2065.3
2023-10-01,280.04,44673.9444,58628.16424,103109.8438,2464.4
2023-11-01,381.52,45478.0754,59038.56139,104347.1619,2464.4
2023-12-01,413.74,47115.28612,58861.44571,105808.0221,2464.4
2024-01-01,447.60,48340.28356,60745.01197,108982.2628,2464.4
2024-02-01,435.48,47760.20015,61048.73703,108764.2983,2464.4
2024-03-01,349.33,46757.23595,59827.76229,106480.248,2464.4
2024-04-01,267.81,46102.63465,59528.62348,105521.9258,
2024-05-01,310.90,45364.99249,59350.03761,104572.2285,
2024-06-01,380.27,46453.75231,59112.63746,105513.3785,
2024-07-01,367.68,46686.02107,58285.06053,104880.2982,
2024-08-01,330.64,45845.67269,57702.20993,103411.9741,
2024-09-01,297.26,45478.90731,57529.1033,102894.9142,
2024-10-01,,45296.99168,57183.92868,102380.4396,
2024-11-01,,45478.17965,57126.74475,102482.8201,
2024-12-01,,46660.61232,57069.618,103610.1311,
